TimeStep,SheepPopulation,PredatorPopulation,GrassEaten,SheepEaten
1,100,15,41,1
2,99,15,91,1
3,99,15,145,1
4,101,15,205,1
5,101,15,268,1
6,102,15,329,2
7,103,2,402,2
8,106,2,475,2
9,109,2,549,2
10,111,2,623,2
11,115,2,704,2
12,116,2,791,2
13,117,1,875,2
14,119,1,960,2
15,125,1,1054,2
16,131,1,1150,2
17,133,1,1247,2
18,140,0,1342,2
19,142,0,1446,2
20,150,0,1547,2
21,158,0,1648,2
22,163,0,1755,2
23,170,0,1868,2
24,177,0,1976,2
25,189,0,2101,2
26,197,0,2224,2
27,202,0,2356,2
28,212,0,2488,2
29,226,0,2628,2
30,235,0,2776,2
31,248,0,2915,2
32,261,0,3083,2
33,277,0,3240,2
34,292,0,3401,2
35,311,0,3583,2
36,334,0,3760,2
37,355,0,3948,2
38,371,0,4153,2
39,391,0,4360,2
40,417,0,4577,2
41,444,0,4772,2
42,460,0,5042,2
43,486,0,5295,2
44,522,0,5551,2
45,561,0,5823,2
46,588,0,6111,2
47,621,0,6409,2
48,659,0,6742,2
49,705,0,7082,2
50,743,0,7419,2
